model_name,accuracy,precision,recall,f1,roc_auc,average_precision,positive_rate,n_features_after_encoding,comment
xgboost_retained,0.7346912955465587,0.671590349581487,0.7814379833858494,0.7223619753740236,0.8105818769484161,0.733466235894099,0.4416751012145749,3839,Retained model after manual tuning.
xgboost_more_regularized,0.7354504048582996,0.6694915254237288,0.7920366657118304,0.7256265581944626,0.8102378502929711,0.7324113759303903,0.4416751012145749,3839,Regularized XGBoost to reduce noisy splits.
xgboost_default,0.7319078947368421,0.6758974358974359,0.7550845030077342,0.7132999594100934,0.8055056987366368,0.7283889988134126,0.4416751012145749,3839,Untuned XGBoost starting point.
logistic_regression_baseline,0.7086285425101214,0.6464497041420119,0.7510741907762819,0.6948456340267656,0.7835638733844298,0.6991457189050521,0.4416751012145749,3839,"Linear baseline, useful as a sanity check."
random_forest_benchmark,0.6163967611336032,0.5409748259239422,0.867946147235749,0.6665200175978883,0.7290550567926344,0.6516468055135072,0.4416751012145749,3839,Main RF benchmark.
random_forest_shallow,0.6069078947368421,0.5339222614840989,0.8656545402463478,0.6604742651076385,0.7150811484232902,0.6344617706371314,0.4416751012145749,3839,"Conservative RF, less variance but less expressive."
