feature_name,importance
age_at_window,0.083315675988451
citizenship_focus_group_Unknown,0.058306473301241106
days_to_contract_expiry_latest,0.051008376394398286
has_contract_expiry_latest,0.04220731843637093
main_position_Unknown,0.04211864010204938
contract_expiry_bucket_latest_2_plus_years,0.04084247474709931
nb_market_moves_before_window,0.03625944536027027
contract_expiry_bucket_latest_Unknown,0.036013046408574056
is_eu,0.03174073642138789
moved_in_last_365_days,0.028293591722231677
competition_previous_market_move_rate,0.026087410633748295
days_since_last_move,0.02488805351325925
main_position_Attack,0.023614747660289467
nb_destination_teams_before_window,0.023200769771986852
citizenship_focus_group_Other,0.02212369301485156
is_french_spanish_portuguese,0.020837697541380526
nb_loans_before_window,0.02074882333488713
was_last_move_loan,0.02056266672160467
nb_transfers_before_window,0.019782510591622306
team_two_year_market_move_rate,0.0174112389586721
team_season_player_count,0.016510958469413695
competition_tier_proxy,0.01575500330942223
primary_competition_is_lower_division,0.01540494234074113
citizenship_focus_group_France_Spain_Portugal,0.015243483761457607
team_previous_market_move_rate,0.0140972767783549
age_band_21_24,0.011674616907374001
tier_previous_market_move_rate,0.010901727586828993
matches_played,0.010004483696950993
competition_previous_intra_league_rate,0.009139596989790628
previous_minutes_played,0.009015211521769465
age_band_25_28,0.008712010942937491
was_last_move_transfer,0.008312401186727818
nb_national_records_before_window,0.008002184215496939
total_national_caps_before_window,0.007949302657488257
bench_appearance_share,0.007369244223972265
minutes_played,0.007275597208573569
matches_in_squad,0.00685369247950205
team_season_competition_count,0.006796683636917574
loan_relaunch_profile,0.006328946818652035
competition_previous_market_move_count,0.0062954942627795555
primary_competition_name_LaLiga,0.005396836413641282
competition_is_intra_league_market,0.00488458152973582
main_position_Defense,0.004879727762064418
primary_team_name_1.FC Heidenheim 1846,0.0036308449139431822
total_injury_days_last_365_days,0.003552930508310263
primary_competition_name_Segunda Federación - Gr. III,0.0035316180888599236
primary_team_name_Bilbao Athletic,0.003426303333610808
total_games_missed_last_365_days,0.0032607300625083196
team_is_high_churn_market,0.0032496782694270455
team_previous_market_move_count,0.002944839247280389
competition_previous_top5_export_rate,0.0028729795608392903
main_position_Midfield,0.0027500557908302055
primary_competition_name_Serie D - B,0.0026947395364443055
primary_competition_name_Primera Federación - Gr. I,0.002648791756562116
goals_per_90,0.0026302566344722006
competition_previous_top5_export_count,0.002530945263616059
primary_competition_name_Under 17 - B,0.0023457517766219977
minutes_trend,0.0023393758018204766
market_profile_score,0.002289913318583573
primary_competition_name_Super liga Srbije,0.0022407705319929406
